scientific_name,common_name,source_db,source_url,taxon_id
Cyathea furfuracea,,GBIF,https://www.gbif.org/species/7916989,7916989
Cyathea leucofolis,,GBIF,https://www.gbif.org/species/3598174,3598174
Cyathea myriotricha,,GBIF,https://www.gbif.org/species/7393806,7393806
Cyathea nigripes,,GBIF,https://www.gbif.org/species/8656803,8656803
Cyathocoma ecklonii,,GBIF,https://www.gbif.org/species/2708008,2708008
Cycas annaikalensis,,GBIF,https://www.gbif.org/species/3594939,3594939
Cycas canalis,,GBIF,https://www.gbif.org/species/2683208,2683208
Cycas falcata,,GBIF,https://www.gbif.org/species/2683293,2683293
Cycas nathorstii,,GBIF,https://www.gbif.org/species/2683246,2683246
Cycas scratchleyana,,GBIF,https://www.gbif.org/species/2683290,2683290
Cycas yorkiana,,GBIF,https://www.gbif.org/species/2683301,2683301
Cyclamen parviflorum,,GBIF,https://www.gbif.org/species/7127772,7127772
Cyclea gracillima,,GBIF,https://www.gbif.org/species/3829935,3829935
Cyclodictyon laetevirens,Bright Green Cave-Moss,GBIF,https://www.gbif.org/species/5280010,5280010
Cyclodium heterodon,,GBIF,https://www.gbif.org/species/7319170,7319170
Cyclolejeunea luteola,,GBIF,https://www.gbif.org/species/8218317,8218317
Cyclophyllum barbatum,Cyclophyllum,GBIF,https://www.gbif.org/species/8249547,8249547
Cyclopogon comosus,,GBIF,https://www.gbif.org/species/2807741,2807741
Cycnoches aureum,,GBIF,https://www.gbif.org/species/2783339,2783339
Cycnoches haagii,,GBIF,https://www.gbif.org/species/2783303,2783303
Cylicomorpha solmsii,,GBIF,https://www.gbif.org/species/3838703,3838703
Cylindropuntia lindsayi,,GBIF,https://www.gbif.org/species/3952561,3952561
Cylindropuntia molesta,,GBIF,https://www.gbif.org/species/7282568,7282568
Cylindropuntia tesajo,,GBIF,https://www.gbif.org/species/8604362,8604362
Cylindropuntia thurberi,,GBIF,https://www.gbif.org/species/7282435,7282435
Cymbalaria pubescens,,GBIF,https://www.gbif.org/species/5559825,5559825
Cymbidium atropurpureum,,GBIF,https://www.gbif.org/species/5305746,5305746
Cymbidium chloranthum,,GBIF,https://www.gbif.org/species/5305575,5305575
Cymbidium madidum,,GBIF,https://www.gbif.org/species/5305598,5305598
Cymbonotus lawsonianus,Bear's ear,GBIF,https://www.gbif.org/species/3118706,3118706
Cymbopetalum hintonii,,GBIF,https://www.gbif.org/species/3157830,3157830
Cymbopogon iwarancusa,Iwarancusa grass,GBIF,https://www.gbif.org/species/4138896,4138896
Cynanchum corymbosum,,GBIF,https://www.gbif.org/species/8154670,8154670
Cynoglossum gansuense,,GBIF,https://www.gbif.org/species/4064155,4064155
Cynometra abrahamii,,GBIF,https://www.gbif.org/species/2966881,2966881
Cynometra bourdillonii,,GBIF,https://www.gbif.org/species/2966900,2966900
Cynometra leonensis,,GBIF,https://www.gbif.org/species/2966875,2966875
Cynometra lujae,,GBIF,https://www.gbif.org/species/2966865,2966865
Cynometra mannii,,GBIF,https://www.gbif.org/species/2966845,2966845
Cynophalla sessilis,,GBIF,https://www.gbif.org/species/3873433,3873433
Cynorkis fastigiata,,GBIF,https://www.gbif.org/species/2781680,2781680
Cyperus chrysanthus,,GBIF,https://www.gbif.org/species/2731000,2731000
Cyperus dilatatus,,GBIF,https://www.gbif.org/species/2714531,2714531
Cyperus elephantinus,,GBIF,https://www.gbif.org/species/2713993,2713993
Cyperus erectus,,GBIF,https://www.gbif.org/species/2718633,2718633
Cyperus flaccidus,,GBIF,https://www.gbif.org/species/2714112,2714112
Cyperus insularis,,GBIF,https://www.gbif.org/species/2713775,2713775
Cyperus mirus,,GBIF,https://www.gbif.org/species/2713990,2713990
Cyperus owanii,Owan's flatsedge,GBIF,https://www.gbif.org/species/2714752,2714752
Cyperus paniceus,,GBIF,https://www.gbif.org/species/2714129,2714129
Cyperus poeppigii,,GBIF,https://www.gbif.org/species/2714150,2714150
Cyperus schimperianus,Schimper Flatsedge,GBIF,https://www.gbif.org/species/2716581,2716581
Cyperus setigerus,lean flatsedge,GBIF,https://www.gbif.org/species/2716036,2716036
Cyperus tenax,,GBIF,https://www.gbif.org/species/2715469,2715469
Cyperus tenerrimus,,GBIF,https://www.gbif.org/species/2714217,2714217
Cyphia stenopetala,,GBIF,https://www.gbif.org/species/3166525,3166525
Cyphostemma setosum,,GBIF,https://www.gbif.org/species/4053104,4053104
Cypripedium fasciolatum,Striped Lady Slipper,GBIF,https://www.gbif.org/species/2820335,2820335
Cypripedium forrestii,Forrest's Cypripedium,GBIF,https://www.gbif.org/species/2820471,2820471
Cyrtocymura cincta,,GBIF,https://www.gbif.org/species/3130438,3130438
Cyrtopodium aliciae,,GBIF,https://www.gbif.org/species/5319619,5319619
Cyrtopodium linearifolium,,GBIF,https://www.gbif.org/species/5319650,5319650
Cyrtosia nana,,GBIF,https://www.gbif.org/species/5308439,5308439
Cyrtosperma johnstonii,,GBIF,https://www.gbif.org/species/2871907,2871907
Cystopteris reevesiana,Reeves' bladderfern,GBIF,https://www.gbif.org/species/2650805,2650805
Cytinus sanguineus,,GBIF,https://www.gbif.org/species/3941131,3941131
Dacrycarpus cinctus,,GBIF,https://www.gbif.org/species/2687824,2687824
Dacrydium ericoides,,GBIF,https://www.gbif.org/species/5286166,5286166
Dactyladenia cinerea,,GBIF,https://www.gbif.org/species/2985587,2985587
Dactyladenia dichotoma,,GBIF,https://www.gbif.org/species/2985615,2985615
Dactyladenia floribunda,,GBIF,https://www.gbif.org/species/2985612,2985612
Dactyladenia gilletii,,GBIF,https://www.gbif.org/species/2985585,2985585
Dactyladenia lehmbachii,,GBIF,https://www.gbif.org/species/2985589,2985589
Dactyladenia smeathmannii,,GBIF,https://www.gbif.org/species/2985607,2985607
Dahlia sherffii,,GBIF,https://www.gbif.org/species/5387127,5387127
Dahlstedtia glaziovii,,GBIF,https://www.gbif.org/species/7355391,7355391
Dalbergia densiflora,,GBIF,https://www.gbif.org/species/2968546,2968546
Dalbergia dyeriana,,GBIF,https://www.gbif.org/species/7729378,7729378
